municipio_ano,pib
11000642011,"11256,69"
11000722011,"16800,93"
11000802011,"8558,65"
11000982011,"12000,87"
11001062011,"17059,81"
11001142011,"16607,03"
11001222011,"17520,18"
11001302011,"9496,3"
11001482011,"9505,21"
11001552011,"13468,51"
11001892011,"17737,33"
11002052011,"25564,46"
11002542011,"11382,16"
11002622011,"14414,16"
11002882011,"14858,94"
11002962011,"12602,7"
11003042011,"19136,96"
11003202011,"14226,93"
11003382011,"10775,16"
11003462011,"10500,71"
11003792011,"10580,21"
11004032011,"10127,49"
11004522011,"11576,39"
11005022011,"10000,58"
11006012011,"14618,72"
11007002011,"11802,97"
11008092011,"12516,38"
11009082011,"12639,41"
11009242011,"21136,94"
11009402011,"13203,99"
11010052011,"10928,06"
11011042011,"13460,25"
11012032011,"11373,03"
11013022011,"10141,59"
11014012011,"12410,18"
11014352011,"10225,86"
11014502011,"11429,33"
11014682011,"23162,04"
11014762011,"11057,2"
11014842011,"10374,84"
11014922011,"12294,59"
11015002011,"11556,51"
11015592011,"11718,28"
11016092011,"9831,1"
11017082011,"10121,98"
11017572011,"9438,78"
11018072011,"11422,03"
12000132011,"11171,52"
12000542011,"7522,75"
12001042011,"9318,07"
12001382011,"11902,01"
12001792011,"12780,45"
12002032011,"9579,95"
12002522011,"10371,84"
12003022011,"6312,21"
12003282011,"6776,16"
12003362011,"6735,79"
12003442011,"7347,03"
12003512011,"6467,05"
12003852011,"8776,76"
12003932011,"6409,2"
12004012011,"16116,57"
12004272011,"7690,02"
12004352011,"7207,26"
12004502011,"11186,67"
12005002011,"7291,87"
12006092011,"7307,02"
12007082011,"7994,33"
12008072011,"8204,55"
13000292011,"5718,76"
13000602011,"4971,51"
13000862011,"6857,65"
13001022011,"10790,45"
13001442011,"7067,49"
13002012011,"5074,22"
13003002011,"5294,2"
13004092011,"4407,42"
13005082011,"4931,04"
13006072011,"4995,49"
13006312011,"5597,32"
13006802011,"4564,62"
13007062011,"6133,61"
13008052011,"6004,6"
13008392011,"8240,35"
13009042011,"4623,6"
13010012011,"6547,66"
13011002011,"4951,27"
13011592011,"9823,83"
13012092011,"42848,03"
13013082011,"20472,18"
13014072011,"6336,76"
13015062011,"5256,4"
13016052011,"5042,06"
13016542011,"4443,16"
13017042011,"6400,95"
13018032011,"3358,91"
13018522011,"9250,35"
13019022011,"12769,92"
13019512011,"6687,75"
13020092011,"11823,6"
13021082011,"6056,23"
13022072011,"5470,07"
13023062011,"6203,41"
13024052011,"6433,45"
13025042011,"10333,43"
13025532011,"7458,6"
13026032011,"30303,38"
13027022011,"6921,4"
13028012011,"4674,48"
13029002011,"5679,33"
13030072011,"4664,45"
13031062011,"5423,38"
13032052011,"4835,42"
13033042011,"5325,8"
13034032011,"7483,55"
13035022011,"5410,09"
13035362011,"20019,06"
13035692011,"10200,26"
